GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
academia-application,com.capgemini.academia,SwaggerConfiguration,36,0,0,0,10,0,3,0,3,0
academia-application,com.capgemini.academia,Application,33,0,0,0,6,0,2,0,2,0
academia-application,com.capgemini.academia.config,ApplicationConfig,7,0,0,0,2,0,2,0,2,0
